PublishedLineName,DirectionRef,NextStopPointName
B52,1.0,GATES AV/MARCUS GARVEY BL
B46,0.0,BROADWAY/LAWTON ST
B63,0.0,5 AV/PROSPECT PL
B25,0.0,FULTON ST/TROY AV
B41,0.0,FLATBUSH AV/CHURCH AV
B15,0.0,ST JOHNS PL/BUFFALO AV
B1,0.0,86 ST/24 AV
B65,1.0,BERGEN ST/4 AV
B46,0.0,BROADWAY/PARK ST
B8,0.0,CHURCH AV/E 96 ST
B41,0.0,FLATBUSH AV/E 46 ST
B47,0.0,RALPH AV/FARRAGUT RD
B12,0.0,EAST NEW YORK AV/JUNIUS ST
B52,0.0,PALMETTO ST/WYCKOFF AV
B9,1.0,AV M/E 15 ST
B60,1.0,WILSON AV/HALSEY ST
B44,0.0,BEDFORD AV/FULTON ST
B35,1.0,CHURCH AV/NOSTRAND AV
B35,0.0,E 98 ST/HEGEMAN AV
B9,0.0,60 ST/21 AV
B82,1.0,KINGS HY/E 38 ST
B54,0.0,MYRTLE AV/SPENCER ST
B48,0.0,CLASSON AV/EASTERN PY
B15,1.0,BERGEN ST/TROY AV
B57,1.0,FLUSHING AV/54 ST
B7,1.0,SARATOGA AV/PARK PL
B36,1.0,SURF AV/W 32 ST
B8,1.0,FOSTER AV/ROGERS AV
B11,1.0,55 ST/3 AV
B46,1.0,KINGS PLAZA
B44,1.0,KNAPP ST/SHORE PKY
B6,0.0,BAY PY/MC DONALD AV
B9,1.0,FLATBUSH AV/AV T
B15,0.0,LINDEN BL/ELDERT LA
B6,1.0,FLATLANDS AV/REMSEN AV
B41,0.0,FLATBUSH AV/PARK ENTRANCE
B84,1.0,FLATLANDS AV/ELTON ST
B3,1.0,25 AV/HARWAY AV
B26,0.0,HALSEY ST/MALCOLM X BL
B63,0.0,5 AV/ST JOHNS PL
B44-SBS,1.0,NOSTRAND AV/ST JOHNS PL
B9,1.0,AV L/FLATBUSH AV
B25,0.0,TILLARY ST/CADMAN PZ E
B20,0.0,PENNSYLVANIA AV/LIBERTY AV
B57,1.0,COURT ST/HAMILTON AV
B24,1.0,METROPOLITAN AV/GRAHAM AV
B25,1.0,FULTON ST/HUDSON AV
B17,0.0,REMSEN AV/DITMAS AV
B67,1.0,7 AV/6 ST
B82,0.0,KINGS HY/EAST 16 ST
B35,0.0,39 ST/5 AV
B14,0.0,SUTTER AV/SHEPHERD AV
B4,0.0,77 ST/COLONIAL RD
B82,1.0,FLATLANDS AV/UTICA AV
B15,0.0,DUMONT AV/FOUNTAIN AV
B15,1.0,MARCUS GARVEY BL/BROADWAY
B6,0.0,FLATLANDS AV/RALPH AV
B16,1.0,CATON AV/OCEAN PY
B15,0.0,LINDEN BL/AUTUMN AV
B2,1.0,QUENTIN RD/E 16 ST
B6,1.0,AV J/CONEY ISLAND AV
B8,1.0,BEVERLY RD/RALPH AV
B67,1.0,19 ST/8 AV
B43,0.0,THROOP AV/DE KALB AV
B15,0.0,NEW LOTS AV/VAN SINDEREN AV
B8,0.0,FOSTER AV/ARGYLE RD
B46,1.0,FLATBUSH AV/KINGS PLAZA
B46,1.0,KINGS PLAZA
B36,0.0,W 33 ST/SURF AV
B46,1.0,UTICA AV/EASTERN PY
B62,0.0,JACKSON AV/11 ST
B44,0.0,NEW YORK AV/FARRAGUT RD
B38,0.0,LAFAYETTE AV/VANDERBILT AV
B20,1.0,ASHFORD ST/WORTMAN AV
B17,1.0,GLENWOOD RD/E 94 ST
B63,1.0,5 AV/DEAN ST
B44-SBS,1.0,NOSTRAND AV/AV U
B35,1.0,39 ST/9 AV
B82,1.0,BAY PY/BENSON AV
B35,1.0,CHURCH AV/UTICA AV
B46,1.0,UTICA AV/TILDEN AV
B25,1.0,FULTON ST/GREENE AV
B46,1.0,UTICA AV/FLATLANDS AV
B61,1.0,COLUMBIA ST/SACKETT ST
B35,1.0,CHURCH AV/CONEY ISLAND AV
B9,1.0,AV M/E 15 ST
B49,1.0,OCEAN AV/AV P
B49,1.0,BEDFORD AV/STERLING PL
B44-SBS,0.0,NOSTRAND AV/AV X
B43,0.0,EMPIRE BL/NOSTRAND AV
B20,1.0,ASHFORD ST/LINDEN BL
B11,1.0,49 ST/13 AV
B9,1.0,NARROWS AV/MACKAY PL
B82,1.0,FLATLANDS AV / ROCKAWAY PY
B70,1.0,39 ST/4 AV
B20,1.0,WORTMAN AV/VERMONT ST
B15,0.0,LINDEN BL/78TH ST
B36,0.0,AV Z/OCEAN AV
B48,0.0,LORIMER ST/LEE AV
B46-SBS,1.0,UTICA AV/EASTERN PY
B13,0.0,WYCKOFF AV/DE KALB AV
B44-SBS,1.0,NOSTRAND AV/AV X
B82,1.0,CROPSEY AV/BAY 38 ST
B15,0.0,s conduit en eb/cohancy st
B62,0.0,GOLD ST/TILLARY ST
B11,1.0,BEDFORD AV/AV I
B6,1.0,ASHFORD ST/LINDEN BL
B63,0.0,5 AV/3 ST
B83,0.0,VAN SINDEREN AVFULTON ST
B46,1.0,UTICA AV/PROSPECT PL
B44-SBS,0.0,ROGERS AV/EMPIRE BL
B38,0.0,LAFAYETTE AV/THROOP AV
B46,0.0,WASHINGTON PLZ/LANE3
B6,0.0,GLENWOOD RD/E 98 ST
B41,1.0,AV N/RALPH AV
B46,0.0,UTICA AV/CARROLL ST
B26,0.0,PUTNAM AV/NOSTRAND AV
B46,1.0,UTICA AV/AV N
B12,1.0,ALBANY AV/EAST NEW YORK AV
B62,0.0,JACKSON AV/11 ST
B43,0.0,MANHATTAN AV/INDIA ST
B54,1.0,JAY ST/MYRTLE PLZ
B25,0.0,FULTON ST/CLINTON AV
B43,0.0,THROOP AV/GREENE AV
B6,1.0,CROPSEY AV/26 AV
B12,0.0,CLARKSON AV/E 38 ST
B38,0.0,ADAMS ST/BKLYN SUPREME CRT
B8,0.0,AV D/NOSTRAND AV
B15,0.0,LINDEN BL/ELDERT LA
B15,1.0,E 98 ST/LOTT AV
B13,1.0,CYPRESS HILLS ST/JAMAICA AV
B16,1.0,OCEAN AV/PARKSIDE AV
B26,0.0,TILLARY ST/ADAMS ST
B9,1.0,FLATBUSH AV/AV T
B47,0.0,RALPH AV/AV N
B9,0.0,AV M/E 15 ST
B12,0.0,FULTON ST/ALABAMA AV
B38,0.0,STARR ST/METROPOLITAN AV
B61,1.0,VAN BRUNT ST/COMMERCE ST
B6,1.0,BAY PY/65 ST
B57,0.0,FLUSHING AV/KNICKERBOCKER AV
B36,0.0,AV Z/OCEAN PY
B43,1.0,TOMPKINS AV/HALSEY ST
B25,0.0,FULTON ST/KINGSTON AV
B9,0.0,AV N/MC DONALD AV
B38,0.0,STARR ST/METROPOLITAN AV
B8,0.0,AV D/SCHENECTADY AV
B3,1.0,AV U/E 15 ST
B35,1.0,CHURCH AV/E 54 ST
B6,0.0,ASHFORD ST/LINDEN BL
B24,1.0,WOODPOINT RD\CONSELYEA ST
B25,0.0,FULTON ST/ASHLAND PL
B41,1.0,FLATBUSH AV/DORCHESTER RD
B82,0.0,FLATLANDS AV/E 108 ST
B46,1.0,KINGS PLAZA
B46-SBS,0.0,UTICA AV/FULTON ST
B49,0.0,ROGERS AV/BEVERLEY RD
B35,1.0,CHURCH AV/REMSEN AV
B17,0.0,REMSEN AV/AV L
B82,0.0,KINGS HY/NOSTRAND AV
