PublishedLineName,DirectionRef,NextStopPointName,VehicleLocation.Latitude,VehicleLocation.Longitude,DistanceFromStop
B1,0.0,5 AV/86 ST,40.621257,-74.026415,7.0
B1,0.0,86 ST/12 AV,40.615274,-74.015935,56.0
B1,0.0,86 ST/13 AV,40.613968,-74.013765,3.0
B1,0.0,86 ST/14 AV,40.612153,-74.01075,183.0
B1,0.0,86 ST/17 AV,40.608734999999996,-74.005088,11.0
B1,0.0,86 ST/18 AV,40.607034999999996,-74.002278,112.0
B1,0.0,86 ST/19 AV,40.605846,-74.000314,2.0
B1,0.0,86 ST/20 AV,40.604182,-73.997545,62.0
B1,0.0,86 ST/21 AV,40.602696,-73.995081,92.0
B1,0.0,86 ST/23 AV,40.600169,-73.990921,57.0
B1,0.0,86 ST/24 AV,40.599061,-73.989082,19.0
B1,0.0,86 ST/25 AV,40.597840000000005,-73.987054,2.0
B1,0.0,86 ST/7 AV,40.618352,-74.02101800000001,63.0
B1,0.0,86 ST/AV U,40.595599,-73.98335300000001,13.0
B1,0.0,86 ST/BAY PY,40.601804,-73.993578,9.0
B1,0.0,86 ST/FT HAMILTON PY,40.620663,-74.02484399999999,0.0
B1,0.0,86 ST/STILLWELL AV,40.596631,-73.985066,20.0
B1,0.0,86 ST/W 11 ST,40.594935,-73.982261,20.0
B1,0.0,86 ST/W 7 ST,40.59137,-73.97636899999999,180.0
B1,0.0,86 ST/W 9 ST,40.593742999999996,-73.980287,2.0
B1,0.0,87 ST/4 AV,40.621819,-74.028387,0.0
B1,0.0,AV X/E 2 ST,40.590725,-73.968592,15.0
B1,0.0,AV X/MC DONALD AV,40.59015,-73.973848,12.0
B1,0.0,AV X/OCEAN PY,40.59088,-73.965182,82.0
B1,0.0,AV X/W 2 ST,40.590297,-73.972454,12.0
B1,0.0,AV X/WEST ST,40.590509000000004,-73.970507,9.0
B1,0.0,BRIGHTON BEACH AV/BRIGHTON 1 PL,40.576628,-73.966002,28.0
B1,0.0,BRIGHTON BEACH AV/BRIGHTON 12 ST,40.578271,-73.957894,22.0
B1,0.0,BRIGHTON BEACH AV/BRIGHTON 14 ST,40.577673,-73.95575699999999,60.0
B1,0.0,BRIGHTON BEACH AV/BRIGHTON 3 ST,40.577063,-73.963981,51.0
B1,0.0,BRIGHTON BEACH AV/BRIGHTON 5 ST,40.577339,-73.962692,9.0
B1,0.0,BRIGHTON BEACH AV/CONEY ISLAND AV,40.578082,-73.95920500000001,87.0
B1,0.0,BRIGHTON BEACH AV/CORBIN PL,40.57682,-73.953471,139.0
B1,0.0,BRIGHTON BEACH AV/OCEAN PY,40.57634,-73.967424,0.0
B1,0.0,OCEAN PY/NEPTUNE AV,40.580139,-73.96765400000001,9.0
B1,0.0,OCEAN PY/OCEAN VIEW AV,40.576306,-73.967835,331.0
B1,0.0,OCEAN PY/SHORE PY,40.585289,-73.966389,21.0
B1,0.0,OCEAN PY/WEST AV,40.58128,-73.967388,16.0
B1,0.0,ORIENTAL BL/HASTINGS ST,40.577946999999995,-73.94374300000001,76.0
B1,0.0,ORIENTAL BL/JAFFRAY ST,40.578047999999995,-73.942817,17.0
B1,0.0,ORIENTAL BL/MACKENZIE ST,40.5782515,-73.939756,0.0
B1,0.0,ORIENTAL BL/WEST END AV,40.576966,-73.952642,6.0
B1,1.0,86 ST/11 AV,40.616616,-74.01814499999999,8.0
B1,1.0,86 ST/13 AV,40.613889,-74.013633,3.0
B1,1.0,86 ST/14 AV,40.612809000000006,-74.01184,6.0
B1,1.0,86 ST/15 AV,40.611186,-74.00915,0.0
B1,1.0,86 ST/16 AV,40.610175,-74.007474,3.0
B1,1.0,86 ST/17 AV,40.610084,-74.007323,301.0
B1,1.0,86 ST/18 AV,40.608261,-74.004304,215.0
B1,1.0,86 ST/19 AV,40.606015,-74.000591,2.0
B1,1.0,86 ST/20 AV,40.604794,-73.99856,25.0
B1,1.0,86 ST/21 AV,40.603525,-73.996466,28.0
B1,1.0,86 ST/23 AV,40.600687,-73.991772,6.0
B1,1.0,86 ST/24 AV,40.599501000000004,-73.989811,28.0
B1,1.0,86 ST/25 AV,40.598071999999995,-73.9874385,15.0
B1,1.0,86 ST/4 AV,40.622603000000005,-74.02806,45.0
B1,1.0,86 ST/7 AV,40.618318,-74.02096,12.0
B1,1.0,86 ST/AV U,40.596081,-73.98415200000001,79.0
B1,1.0,86 ST/AV V,40.593903000000005,-73.980556,20.0
B1,1.0,86 ST/AV W,40.591803999999996,-73.977046,8.0
B1,1.0,86 ST/BAY PY,40.602087,-73.994036,9.0
B1,1.0,86 ST/DAHLGREN PL,40.620011,-74.02374,113.0
B1,1.0,86 ST/FT HAMILTON PY,40.6206,-74.02474000000001,67.0
B1,1.0,86 ST/STILLWELL AV,40.597019,-73.985712,47.0
B1,1.0,86 ST/W 8 ST,40.593034,-73.979113,32.0
B1,1.0,87 ST/4 Av,40.621899,-74.028521,0.0
B1,1.0,AV X/E 1 ST,40.590478999999995,-73.970787,161.0
B1,1.0,AV X/E 3 ST,40.590862,-73.967336,18.0
B1,1.0,AV X/SHELL RD,40.590165999999996,-73.973694,12.0
B1,1.0,AV X/W 1 ST,40.590477,-73.970821,0.0
